,date,eclipse_type,magnitude,region,day,month,year,duration_min,duration_sec,duration_total
0,05-18-1901,Total,1.068,australia,18,5,1901,6,29,389
1,11-11-1901,Annular,0.922,asia,11,11,1901,11,1,661
3,05-07-1902,Partial,0.859,australia,7,5,1902,4,30,270
6,09-21-1903,Total,1.032,antarctica,21,9,1903,2,12,132
9,03-06-1905,Annular,0.927,australia,6,3,1905,7,58,478
9,03-06-1905,Annular,0.927,antarctica,6,3,1905,7,58,478
10,08-30-1905,Total,1.048,europe,30,8,1905,3,46,226
11,02-23-1906,Partial,0.539,antarctica,23,2,1906,4,30,270
11,02-23-1906,Partial,0.539,australia,23,2,1906,4,30,270
15,07-10-1907,Annular,0.946,south america,10,7,1907,7,23,443
15,07-10-1907,Annular,0.946,antarctica,10,7,1907,7,23,443
18,12-23-1908,Hybrid,1.002,south america,23,12,1908,4,12,252
18,12-23-1908,Hybrid,1.002,antarctica,23,12,1908,4,12,252
19,06-17-1909,Hybrid,1.006,asia,17,6,1909,4,24,264
20,12-12-1909,Partial,0.542,antarctica,12,12,1909,4,30,270
20,12-12-1909,Partial,0.542,australia,12,12,1909,4,30,270
21,05-09-1910,Total,1.06,antarctica,9,5,1910,4,15,255
21,05-09-1910,Total,1.06,australia,9,5,1910,4,15,255
24,10-22-1911,Annular,0.965,asia,22,10,1911,3,47,227
24,10-22-1911,Annular,0.965,australia,22,10,1911,3,47,227
25,04-17-1912,Hybrid,1.0,europe,17,4,1912,4,2,242
25,04-17-1912,Hybrid,1.0,asia,17,4,1912,4,2,242
26,10-10-1912,Total,1.023,south america,10,10,1912,1,55,115
26,10-10-1912,Total,1.023,antarctica,10,10,1912,1,55,115
29,09-30-1913,Partial,0.825,antarctica,30,9,1913,4,30,270
30,02-25-1914,Annular,0.925,antarctica,25,2,1914,5,35,335
30,02-25-1914,Annular,0.925,australia,25,2,1914,5,35,335
31,08-21-1914,Total,1.033,europe,21,8,1914,2,14,134
32,02-14-1915,Annular,0.979,australia,14,2,1915,2,4,124
32,02-14-1915,Annular,0.979,antarctica,14,2,1915,2,4,124
34,02-03-1916,Total,1.028,north america,3,2,1916,2,36,156
35,07-30-1916,Annular,0.945,australia,30,7,1916,6,24,384
35,07-30-1916,Annular,0.945,antarctica,30,7,1916,6,24,384
36,12-24-1916,Partial,0.011,antarctica,24,12,1916,4,30,270
37,01-23-1917,Partial,0.725,asia,23,1,1917,4,30,270
39,07-19-1917,Partial,0.086,antarctica,19,7,1917,4,30,270
40,12-14-1917,Annular,0.979,antarctica,14,12,1917,1,17,77
41,06-08-1918,Total,1.029,asia,8,6,1918,2,23,143
41,06-08-1918,Total,1.029,north america,8,6,1918,2,23,143
42,12-03-1918,Annular,0.938,south america,3,12,1918,7,6,426
42,12-03-1918,Annular,0.938,antarctica,3,12,1918,7,6,426
43,05-29-1919,Total,1.072,south america,29,5,1919,6,51,411
43,05-29-1919,Total,1.072,africa,29,5,1919,6,51,411
45,05-18-1920,Partial,0.973,australia,18,5,1920,4,30,270
45,05-18-1920,Partial,0.973,antarctica,18,5,1920,4,30,270
47,04-08-1921,Annular,0.975,asia,8,4,1921,1,50,110
48,10-01-1921,Total,1.029,antarctica,1,10,1921,1,52,112
49,03-28-1922,Annular,0.938,europe,28,3,1922,7,50,470
50,09-21-1922,Total,1.068,australia,21,9,1922,5,59,359
51,03-17-1923,Annular,0.931,antarctica,17,3,1923,7,51,471
52,09-10-1923,Total,1.043,north america,10,9,1923,3,37,217
53,03-05-1924,Partial,0.582,antarctica,5,3,1924,4,30,270
57,07-20-1925,Annular,0.944,australia,20,7,1925,7,15,435
57,07-20-1925,Annular,0.944,australia,20,7,1925,7,15,435
60,01-03-1927,Annular,0.999,antarctica,3,1,1927,4,3,243
61,06-29-1927,Total,1.013,europe,29,6,1927,4,50,290
62,12-24-1927,Partial,0.549,antarctica,24,12,1927,4,30,270
64,11-12-1928,Partial,0.808,asia,12,11,1928,4,30,270
65,05-09-1929,Total,1.056,asia,9,5,1929,5,7,307
65,05-09-1929,Total,1.056,australia,9,5,1929,5,7,307
66,11-01-1929,Annular,0.965,africa,1,11,1929,3,54,234
66,11-01-1929,Annular,0.965,europe,1,11,1929,3,54,234
66,11-01-1929,Annular,0.965,asia,1,11,1929,3,54,234
67,04-28-1930,Hybrid,1.0,north america,28,4,1930,4,1,241
67,04-28-1930,Hybrid,1.0,asia,28,4,1930,4,1,241
68,10-21-1930,Total,1.023,australia,21,10,1930,1,55,115
68,10-21-1930,Total,1.023,australia,21,10,1930,1,55,115
70,09-12-1931,Partial,0.047,north america,12,9,1931,4,30,270
71,10-11-1931,Partial,0.901,antarctica,11,10,1931,4,30,270
72,03-07-1932,Annular,0.928,antarctica,7,3,1932,5,19,319
72,03-07-1932,Annular,0.928,australia,7,3,1932,5,19,319
73,08-31-1932,Total,1.026,north america,31,8,1932,1,45,105
74,02-24-1933,Annular,0.984,africa,24,2,1933,1,32,92
74,02-24-1933,Annular,0.984,antarctica,24,2,1933,1,32,92
75,08-21-1933,Annular,0.98,australia,21,8,1933,2,4,124
76,02-14-1934,Total,1.032,australia,14,2,1934,2,53,173
76,02-14-1934,Total,1.032,north america,14,2,1934,2,53,173
77,08-10-1934,Annular,0.944,antarctica,10,8,1934,6,33,393
79,02-03-1935,Partial,0.739,north america,3,2,1935,4,30,270
81,07-30-1935,Partial,0.231,antarctica,30,7,1935,4,30,270
82,12-25-1935,Annular,0.975,antarctica,25,12,1935,1,30,90
83,06-19-1936,Total,1.033,asia,19,6,1936,2,31,151
84,12-13-1936,Annular,0.935,australia,13,12,1936,7,25,445
84,12-13-1936,Annular,0.935,antarctica,13,12,1936,7,25,445
84,12-13-1936,Annular,0.935,australia,13,12,1936,7,25,445
88,11-21-1938,Partial,0.778,asia,21,11,1938,4,30,270
89,04-19-1939,Annular,0.973,north america,19,4,1939,1,49,109
90,10-12-1939,Total,1.027,antarctica,12,10,1939,1,32,92
90,10-12-1939,Total,1.027,australia,12,10,1939,1,32,92
91,04-07-1940,Annular,0.939,north america,7,4,1940,7,30,450
92,10-01-1940,Total,1.064,south america,1,10,1940,5,35,335
93,03-27-1941,Annular,0.935,antarctica,27,3,1941,7,41,461
93,03-27-1941,Annular,0.935,south america,27,3,1941,7,41,461
94,09-21-1941,Total,1.038,asia,21,9,1941,3,22,202
94,09-21-1941,Total,1.038,australia,21,9,1941,3,22,202
94,09-21-1941,Total,1.038,asia,21,9,1941,3,22,202
